Total,Product Codes
"$15,671.28",15143Exfo
"$15,671.28 Total",
"$12,762.36",32729Masc
"$12,762.36 Total",
"$9,611.82",62289Masc
"$9,611.82 Total",
"$9,392.50",69601Exfo
"$9,392.50 Total",
"$9,132.61",58337Foun
"$9,132.61 Total",
"$8,307.25",85021Foun
"$8,307.25 Total",
"$8,105.78",68713Exfo
"$8,105.78 Total",
"$6,967.62",17691Masc
"$6,967.62 Total",
"$6,132.28",63094Exfo
"$6,132.28 Total",
"$6,062.14",96799Foun
"$6,062.14 Total",
"$5,780.04",61207Foun
"$5,780.04 Total",
"$5,695.95",17269Masc
"$5,695.95 Total",
"$5,108.92",42292Glos
"$5,108.92 Total",
"$5,047.95",69030Masc
"$5,047.95 Total",
"$4,597.25",64762Foun
"$4,597.25 Total",
"$3,455.64",75112Foun
"$3,455.64 Total",
"$3,227.00",03485Eyel
"$3,227.00 Total",
"$3,036.88",52341Foun
"$3,036.88 Total",
"$2,957.04",91559Eyel
"$2,957.04 Total",
"$2,233.98",35073Foun
"$2,233.98 Total",
"$2,202.48",49631Foun
"$2,202.48 Total",
"$1,906.18",51993Masc
"$1,906.18 Total",
"$1,758.68",86661Shad
"$1,758.68 Total",
"$1,753.46",26156Foun
"$1,753.46 Total",
"$1,659.45",86139Lips
"$1,659.45 Total",
"$1,281.02",25331Glos
"$1,281.02 Total",
$974.25,20559Shad
$974.25 Total,
$914.94,13230Masc
$914.94 Total,
$795.24,40014Masc
$795.24 Total,
$397.00,49541Eyel
$397.00 Total,
Grand Total,
