id,name,rating,address,city,lat,long
243,che-lo-union-city-2,5,1767 Decoto Blvd,Union City,375.895.628.278.523,-122022492714298
88,super-cue-cafe-san-francisco-2,5,1330 Ocean Ave,San Francisco,377.242.954.229.777,-122457044541931
133,t4-san-leandro,5,1443 E 14th St,San Leandro,37.723.825,-122154662999999
6,gong-cha-fremont,5,46827 Warm Springs Blvd,Fremont,374.885.682.635.695,-121929191268869
271,happy-lemon-sunnyvale-2,5,605 E El Camino Real,Sunnyvale,3.736.189,-122024539999999
218,ohana-hawaiian-bbq-of-pleasanton-pleasanton,5,5410 Sunol Blvd,Pleasanton,376.522.299.999.999,-1218786
65,infinitea-san-francisco,5,5351 Geary Blvd,San Francisco,37.780.295.679.705,-122477084781597
160,amor-cafe-and-tea-san-jose,5,110 E San Fernando St,San Jose,373.354.549.999.999,-121886596
23,boba-queen-fremont,5,34420 Fremont Blvd,Fremont,375.757,-122039769999999
89,puppy-bobar-san-francisco,5,1142 Grant Ave,San Francisco,377.975.399.525.428,-122406789958477
128,qteabar-oakland,5,478 Lake Park Ave,Oakland,378.110.686.341.717,-12224723573774
147,bobateani-san-jose,5,75 E Santa Clara St,San Jose,3.733.709,-12188941
365,taza-deli-and-cafe-redwood-city,5,1796 Broadway,Redwood City,374.868.656,-122223413299999
368,mr-green-bubble-sunnyvale,5,1255 S Mary Ave,Sunnyvale,3.735.338,-12205071
397,i-tea-burlingame-2,5,346 Lorton Ave,Burlingame,375.801.206,-122346889099999
426,waterfront-cafe-burlingame,5,500 Airport Blvd,Burlingame,37.590.323,-12234142
505,golden-bakery-pittsburg,5,2229 Railroad Ave,Pittsburg,380.136.496,-1218904874
533,honey-bear-smoothie-tea-and-dessert-hayward,5,1 Southland Mall Dr,Hayward,376.542.332,-1221048419
0,99-tea-house-fremont-2,"4,5",3623 Thornton Ave,Fremont,3.756.295,-122010039999999
1,one-tea-fremont-2,"4,5",46809 Warm Springs Blvd,Fremont,374.890.666.928.572,-121929413750767
3,teco-tea-and-coffee-bar-fremont,"4,5",39030 Paseo Padre Pkwy,Fremont,375.536.945,-121981043
7,happy-lemon-fremont-2,"4,5",46873 Warm Spring Blvd,Fremont,374.884.429.093.476,-121930383669657
44,teatop-milpitas,"4,5",82 Ranch Dr,Milpitas,3.742.644,-121921619999999
45,ten-ren-tea-co-of-milpitas-milpitas,"4,5",1732 N Milpitas Blvd,Milpitas,374.555.854.711.176,-121909984275478
56,i-tea-san-francisco-3,"4,5",253 Kearny St,San Francisco,377.905.719.929.647,-122404304221271
