Region,Sub-Category,SUM of Sales,SUM of Profit,AVERAGE of Discount
Central,Accessories,"$33,956.08","$7,251.63",12.5%
,Appliances,"$23,582.03","-$2,638.62",44.9%
,Art,"$5,765.34","$1,195.16",12.3%
,Binders,"$56,923.28","-$1,043.64",50.9%
,Bookcases,"$24,157.18","-$1,997.90",23.3%
,Chairs,"$85,230.65","$6,592.72",19.3%
,Copiers,"$37,259.57","$15,608.84",11.3%
,Envelopes,"$4,636.87","$1,777.53",12.9%
,Fasteners,$778.03,$236.62,13.5%
,Furnishings,"$15,254.37","-$3,906.22",40.4%
,Labels,"$2,451.47","$1,073.08",11.3%
,Machines,"$26,797.38","-$1,486.07",32.9%
,Paper,"$17,491.90","$6,971.90",12.9%
,Phones,"$72,403.28","$12,323.03",12.2%
,Storage,"$45,930.11","$1,969.84",12.4%
,Supplies,"$9,467.37",-$661.89,14.4%
,Tables,"$39,154.97","-$3,559.65",26.3%
Central Total,,"$501,239.89","$39,706.36",24.0%
East,Accessories,"$45,033.37","$11,195.86",8.5%
,Appliances,"$34,188.47","$8,391.41",7.3%
,Art,"$7,485.76","$1,899.94",6.9%
,Binders,"$53,498.00","$11,267.93",35.3%
,Bookcases,"$43,819.33","-$1,167.63",22.0%
,Chairs,"$96,260.68","$9,357.77",15.1%
,Copiers,"$53,219.46","$17,022.84",25.0%
,Envelopes,"$4,375.87","$1,812.41",8.1%
,Fasteners,$819.72,$263.99,9.2%
,Furnishings,"$29,071.38","$5,881.41",7.8%
,Labels,"$2,602.93","$1,129.28",6.7%
,Machines,"$66,106.17","$6,928.64",28.4%
,Paper,"$20,172.60","$9,015.37",6.5%
,Phones,"$100,614.98","$12,314.69",16.0%
,Storage,"$71,612.58","$8,389.37",7.1%
,Supplies,"$10,760.12","-$1,155.14",6.8%
,Tables,"$39,139.81","-$11,025.38",37.4%
East Total,,"$678,781.24","$91,522.78",14.5%
South,Accessories,"$27,276.75","$7,004.54",8.6%
,Appliances,"$19,525.33","$4,123.94",11.1%
,Art,"$4,655.62","$1,058.59",10.1%
,Binders,"$37,030.34","$3,900.66",37.6%
,Bookcases,"$10,899.36","$1,339.49",10.0%
,Chairs,"$45,176.45","$6,612.09",9.8%
,Copiers,"$9,299.76","$3,658.91",8.6%
,Envelopes,"$3,345.56","$1,465.48",7.4%
,Fasteners,$503.32,$173.72,8.3%
,Furnishings,"$17,306.68","$3,442.68",10.7%
,Labels,"$2,353.18","$1,040.77",10.8%
,Machines,"$53,890.96","-$1,438.89",33.3%
,Paper,"$14,150.98","$5,947.06",10.2%
,Phones,"$58,304.44","$10,767.28",10.0%
,Storage,"$35,768.06","$2,274.30",9.2%
,Supplies,"$8,318.93",$1.88,10.3%
,Tables,"$43,916.19","-$4,623.06",22.3%
South Total,,"$391,721.91","$46,749.43",14.7%
West,Accessories,"$61,114.12","$16,484.60",3.6%
,Appliances,"$30,236.34","$8,261.27",3.1%
,Art,"$9,212.07","$2,374.10",3.1%
,Binders,"$55,961.11","$16,096.80",28.2%
,Bookcases,"$36,004.12","-$1,646.51",22.9%
,Chairs,"$101,781.33","$4,027.58",20.0%
,Copiers,"$49,749.24","$19,327.24",14.4%
,Envelopes,"$4,118.10","$1,908.76",4.2%
,Fasteners,$923.22,$275.19,3.3%
,Furnishings,"$30,072.73","$7,641.27",3.3%
,Labels,"$5,078.73","$2,303.12",1.9%
,Machines,"$42,444.12",-$618.93,30.3%
,Paper,"$26,663.72","$12,119.24",3.2%
,Phones,"$98,684.35","$9,110.74",20.0%
,Storage,"$70,532.85","$8,645.32",3.1%
,Supplies,"$18,127.12",$626.05,3.8%
,Tables,"$84,754.56","$1,482.61",20.0%
West Total,,"$725,457.82","$108,418.45",10.9%
Grand Total,,"$2,297,200.86","$286,397.02",15.6%
